# 誤<TAB>正；欄底與欄頂的句讀被辨讀吞掉，逐處對過原頁圖 400 dpi 裁圖。
表决權與協約國	表决權。與協約國
之要求及其在中國	之要求。及其在中國
# 報名原書排 Frankfurtor（末二字母 or，放大核過），照轉錄體例不改字，只補兩詞之間的空格。
FrankfurtorZeitung	Frankfurtor Zeitung
