# 原書第 360 頁（PDF 8）。行末句號被 GCV 掉了，2026-08-24 裁原頁圖核過：「的大學之一。」
# 校訂表逐行比對，一條不能跨行；這條寫行末的長相。
最古的大學之一	最古的大學之一。
# 印的是「及匈牙利各地旅行。」，GCV 掉段末句號。
各地旅行	各地旅行。
# 責備讀成青備；「也光火了」掉光；「免費運出了」掉運。
# 「偷運出去！。」：原書「！」與「。」各佔一格都印了，2026-08-24 核圖時判為照錄。2026-08-25 站主
# 推翻該裁定——原書的排字錯誤不照錄進正文，取驚嘆號。全站同類 11 處一併處理，見 engineering/LOG.md。
桌子來青	桌子來責
先生也火了	先生也光火了
全部免費出了。	全部免費運出了。
偷運出去！。	偷運出去！
