課程用“修身’來代替	課程用‘修身’來代替
推行‘公民”之後	推行‘公民’之後
初中的歷更分開，是傳斯年起草的。關子大學	初中的歷史分開，是傅斯年起草的。關于大學
專門委員曹 負責整理	專門委員曹芻負責整理
此時改由與兆棠繼任	此時改由吳兆棠繼任
課程往往本未倒置	課程往往本末倒置
糾正過來，會和周鴻經	糾正過來，曾和周鴻經
鄧任內第二次頒佈	部任內第二次頒佈
發行金元尜的案子	發行金元券的案子
秘書方志憖到廣州	秘書方志懋到廣州
要先生和至校師生	要先生和全校師生
樹木都被伐了	樹木都被伐光了
