# 原書第 412 頁（PDF 60）。2026-08-24 裁原頁圖核過：GCV 掉段末句號。
特別熱鬧	特別熱鬧。
# 印的是「弭兵會議說起’，」與「最後一次的演講。」，閉引號與段末句號掉了。
弭兵會議說起，也是	弭兵會議說起」，也是
最後一次的演講	最後一次的演講。
# 印的是「不受政治的影響。」，句號被讀成「告」黏到下一段段首。校訂逐行套用，
# 跨行的一處拆成兩條：行尾補句號、下一行行首刪「告」。
政治的影響	政治的影響。
告五月中	五月中
