如方志撼	如方志懋
靳慶濂	靳廣濂
第三期如金概	第三期如翁概
由沈築士負責	由沈秉士負責
他和英干里	他和英千里
後因英干里等被	後因英千里等被
到廣西，慶\n東	到廣西，廣\n東
並沒有什 不	並沒有什麼不
省黨部中央的命令筒能貫澈	省黨部對中央的命令尚能貫澈
會到良豐去看	曾到良豐去看
一部份開始往昆明	一部份開始遷往昆明
所在地未陽	所在地耒陽
再去長沙。又坐粵漠鐵路	再去長沙。又坐粵漢鐵路
曲江（詔關）	曲江（韶關）
美總統雞斯福	美總統羅斯福
