戰場上兵我相見	戰場上兵戎相見
看待，完至和日本	看待，完全和日本
他們同國之後	他們回國之後
到了北本，沈秉士	到了北平，沈秉士
陳雪歷正在組織北平臉	陳雪屏正在組織北平臨
高惜水，減啓芳	高惜冰，臧啓芳
儒弱的種種情形	懦弱的種種情形
個合理的調警	個合理的調整
但各校都要遷到至\n津京滬	但各校都要遷到平\n津京滬
自己\n的英不好	自己\n的英文不好
如像德女那樣	如像德文那樣
辭去秉職後，他會推薦葉企蒜	辭去兼職後，他曾推薦葉企孫
