# 原書第 354 頁（PDF 2）。2026-08-24 裁原頁圖核過：GCV 掉段末句號。
庸論孟	庸論孟。
業師楊茀齋	業師楊茀齋。
# 2026-08-25 裁原頁圖核過（1902、1905、1908 三個年目）。
# 印的是「在衣言堂喫上墳酒」，地名帶專名號底線，GCV 掉「衣」。
在言堂喫上墳酒	在衣言堂喫上墳酒
# 印的是「見校中會考榜」。
見梭中會考榜	見校中會考榜
# 「彼則常」印在「有時並爲代課。」那一行的行末，GCV 把它排到頁碼之後去了。
# 先刪頁尾那一串（正欄留空），再接回原位——兩條的順序不可對調。
彼則常	
有時並為代課。	有時並為代課。彼則常
# 印的是「二兄家騏病故。年二十一歲。」，GCV 掉「年」。
病故。二十一歲。	病故。年二十一歲。
