商船學校的航海輸\n機兩科	商船學校的航海輪\n機兩科
先生借同交通部次長	先生偕同交通部次長
接着，復且大學	接着，復旦大學
口號是“吃光運	口號是‘吃光運
動’，「反饑餓運動’	動’，‘反饑餓運動’
阻撓殺育部的嚴厲處理	阻撓教育部的嚴厲處理
這次至國政治性	這次全國政治性
學生要開也開不起來了	學生要鬧也鬧不起來了
等幾次水電勸先生	等幾次來電勸先生
梅貽琦（'月涵）	梅貽琦（月涵）
學生湧了進\n求的三百多人	學生湧了進\n來的三百多人
