視察了厦門大學	視察了廈門大學
這時不已經炭岌可危	這時平津已經岌岌可危
同時又想把亞連教育界	同時又想把平津教育界
古物的搬問題	古物的搬遷問題
研究院泱定由李濟押運，又派茜逸夫	研究院決定由李濟押運，又派芮逸夫
從熱河故宫運出	從熱河故宮運出
中央博物院的女物四千幾百箱	中央博物院的文物四千幾百箱
李國鼎，錢照加入物理所	李國鼎，錢臨照加入物理所
此時姜立失籌備	此時姜立夫籌備
兩百六十幾畝士地	兩百六十幾畝土地
此時丕津方面	此時平津方面
