# 原書第 371 頁（PDF 19）。2026-08-24 裁原頁圖核過：1933 年德國軍事顧問一段，
# GCV 掉專名號底線上的「法」「毫」各兩處、亳毫誤認一處、囘誤認作同。
一個是勃兒將軍	一個是法勃兒將軍
法肯亳	法肯毫
。肯毫森是	。法肯毫森是
辭職同德	辭職囘德
交給法肯森暫代	交給法肯毫森暫代
