# 原書第 358 頁（PDF 6）。2026-08-24 裁原頁圖核過。人名掉字都在專名號底線上。
# 印的是「胡適（適之）先生。接着認識了陶履恭（孟和，後以字行。）」——括號內的句號原書就有，照錄。
胡適（之）	胡適（適之）
認識了履恭	認識了陶履恭
# 印的是「蔣復璁（慰堂），馮兆異，王汝璵，栗維銘等」——掉「蔣」「栗」，璵讀成與。
。復璁（慰堂）	。蔣復璁（慰堂）
王汝與	王汝璵
，維銘等	，栗維銘等
# 印的是「羅家倫（志希）等十多人」，GCV 掉右括號。
（志希等十多人	（志希）等十多人
# GCV 掉行末句號（原頁圖核過）。
又回北京	又回北京。
在北京結婚	在北京結婚。
