是不顧意接受	是不願意接受
四月，依叔平	四月，俞叔平
那未過去對黨	那末過去對黨
以後愈叔平辭職	以後俞叔平辭職
謝東閱	謝東閔
以傅斯年秉任	以傅斯年兼任
月閒當選	月間當選
館長蔣復瑰	館長蔣復璁
三十八年撒退時	三十八年撤退時
