輆山，遼陽等處	鞍山，遼陽等處
先生同到南京時	先生回到南京時
先由英干里主持	先由英千里主持
這個數字于現代化	這個數字對于現代化
到部之後不八，設立一個法律育委員會	到部之後不久，設立一個法律教育委員會
要參事玉\n伯琦負責	要參事王\n伯琦負責
通過了院土選舉規程	通過了院士選舉規程
歷屆評議會都會提出	歷屆評議會都曾提出
這個“院士’的名稱	這個‘院士’的名稱
所謂“院士’，就是	所謂‘院士’，就是
選舉。士產生後	選舉。院士產生後
大家不顧意取消	大家不願意取消
